text,option_1,option_2,option_3,option_4
Are you a better conversationalist or listener?,Conversationalist,Listener,,
Which word describes you better?,Private,Social,,
Which is more important in a healthy relationship?,Maintaining privacy,Total openness,,
Do you have a problem with racist jokes?,Yes,No,,
Are you modest?,Yes,No,,
Are you a highly skilled writer?,Yes,No,,
Are you more of a fast or careful talker?,Fast,Careful,,
Do you think homosexuality is a sin?,Yes,No,,
Is interracial marriage a bad idea?,Yes,No,,
Would you rather live in the big city or a small town?,Big city,Small town,,
Do you spend more money on clothes or food?,Clothes,Food,,
How do you like your social plans?,Settled and decided,Tentative,,
How frequently do you drink alcohol?,Very often,Sometimes,Rarely,Never
"Generally, do you enjoy being drunk?",Yes,No,"I don't know, because I've never been drunk.",
What's your relationship with marijuana?,I smoke regularly.,I smoke occasionally.,"I smoked in the past, but no longer.",Never.
What's your deal with harder drugs (stuff beyond pot)?,I do drugs regularly.,I do drugs occasionally.,"I've done drugs in the past, but no longer.",I never do drugs.
How much do you go 'clubbing' (out dancing in bars)?,Lots,Sometimes,Rarely,Never
Have you ever tried Yoga?,Yes,No,,
Do you enjoy gossip?,Yes,No,,
Do you regularly go out partying on weeknights?,Yes,No,,
Do you own a gun?,Yes,No,,
How messy are you?,I'm very messy,I'm average,I'm mostly organized,I'm compulsively neat
"On a daily basis, do you spend a lot of time trying to make yourself look good?",Yes,No,,
"Honestly, which do you do more of?",Watch television,Read,,
Your friends are:,mostly guys,mostly girls,both guys and girls,
"Generally, in life, what makes you happier?",Quality,Variety,,
Are you almost always on time?,Yes,No,,
Do you regularly paint or sculpt?,Yes,No,,
"Are you, or have you ever been, in a band?  (A solo act is fine, too. Don't count school bands.)",Yes,No,,
Do you write poetry?,Yes,No,,
Do you like to play contact sports?,Yes,"I do, but I don't play much anymore.",No,
Do you have a child or children?,Yes,No,,
Have you ever been married?,Yes,No,,
"Could you name 5 impressionists, and a painting by each?",Yes,No,,
"Can you name 5 operas, and their composers?",Yes,No,,
Can you name any ballet other than the Nutcracker?,Yes,No,,
"Would you travel around a third world country, alone?",Yes,No,,
Have you ever traveled around another country alone?,Yes,No,,
"Is it okay to live with someone you're dating, even before you're engaged or married?",Yes,No,,
Do animals have 'souls' like humans do?,Yes,No,,
Is evil necessary in the world?,Yes,No,,
How much does physical attractiveness matter to you in a match?,A lot,A little,Not at all,
Would you strongly prefer to go out with someone of your own skin color / racial background?,Yes,No,,
Do you work out a lot?,Yes,No,,
Do you lift weights?,Yes,No,,
What kind of shape are you in?,Great,Average,Shitty,
Do you wear expensive designer clothes?,Yes,No,,
Do you have any tattoos?,I have 1 or more BIG tattoos,I have 1 or more LITTLE tattoos,I have no tattoos,
"Do you have any 'extreme' piercings (this includes anything other than ears, nose, or navel)?",Yes,No,,
Do you look better dressed or naked?,Dressed,Naked,,
Can you run a mile without stopping?,Yes,No,Yes - And More,
Are you physically strong?,"Yes, very",Average,"No, not really",
Do you think women have an obligation to keep their legs shaved?,Yes,No,,
"All else the same, would you rather date someone rich or hot?",Rich,Hot,,
Would you get upset if your girlfriend/boyfriend flirted in front of you?,Yes,No,,
Would you terminate a pregnancy if the baby was going to be mentally disabled?,Yes,No,It depends on the severity,
"If you had to guess, do you think humans will go extinct in the next 1000 years?",Yes,No,,
Would you be happy raising the kids while your spouse worked?,Yes,No,,
Is it possible to love someone you don't even like?,Yes,No,,
Would you ever sleep with a serial killer?,Yes,No,,
Choose the better romantic activity:,Kissing in Paris,"Kissing in a tent, in the woods",,
"Would you rather know everything about your mate, or be regularly surprised?",Surprised,All-knowing,,
Which makes for a better relationship?,Passion,Dedication,,
"If you had a one-night stand DURING a relationship, would you confess to your mate?",Yes,No,,
Pick the best date on this list:,A really nice restaurant,A really divey bar,A day at the beach,
"In a certain light, wouldn't nuclear war be exciting?","Yes, it would.","No, it wouldn't.",,
Would you ever seriously date someone twice your age?,Yes,No,,
Would you ever seriously date someone half your age?,Yes,No,,
Do you have your own web page?,Yes,No,,
Are you an aspiring actor/artist/writer or other creative type?,Yes,No,,
Do you know any programming languages?,Yes,No,,
Which is more appealing?,A life of leisure,A life of accomplishment,,
Would you rather have more money or more freedom?,More money,More freedom,,
"If a poor 20 year-old woman marries a wealthy 40 year-old man, do you assume it's for the money?",Yes,No,,
Do you wear a suit to work (or female equivalent)?,Yes,No,,
Are you totally anti-war?,Yes,No,,
"Politically, which way do you lean?",To the right (republican in the US),To the left (democrat in the US),To the middle / I don't know,
Do you recycle?,Almost always,Sometimes,Rarely or not at all,
The life of one of your fellow citizens is more valuable than the lives of ten foreigners.,TRUE,FALSE,,
Should the death penalty be abolished?,Yes,No,,
Do you usually vote in presidential (or applicable) elections?,Yes,No,,
What's more important to you?,Your world,Your country,,
Would you fight for your country in an unjust war?,Yes,No,,
"Let's say you don't agree with a law, one that won't change. Which is your responsibility?",Breaking it when it suits you,Obeying it until it changes,,
"Communism, in concept:",Good,Bad,Same as capitalism,No idea / this question doesn't interest me
Should burning your country's flag be illegal?,Yes,No,,
Which better explains why most homeless people are homeless?,Sheer laziness,Impossible odds,,
Which is bigger?,The earth,The sun,,
Who's smarter on average?,Men,Women,"Neither, they're the same on average",
Have you ever cheated on an exam?,Yes,No,,
Have you ever studied math BEYOND calculus?,Yes,No,,
Are you smarter than all your friends?,Yes,No,,
Are you really into Anime (Japanese Animation) movies?,Yes,No,,
"If you got married, would you change your name?",Yes,No,,
"In high school, were you one of the 'cool' kids?",Yes,No,,
Do you keep a blog (online journal)?,Yes.,No.,,
Could you imagine yourself killing someone?,Yes,No,,
Do you believe in dinosaurs?,Yes,No,,
Do you say grace before meals?,Yes,No,,
"Excluding childhood fights, have you ever punched someone in the face?",Yes,No,,
"Do you think advanced primates, like chimps and apes, should be afforded some degree of 'human' rights?",Yes,No,,
Do you know the square root of 256 off the top of your head?,Yes,No,,
"Suppose you're driving, and you hit an animal. You don't know how badly it's hurt. Do you:",stop and look,keep going,,
"For a pet, would you prefer:",one from the pound,one from a champion breeder,,
Which would you rather lose:,the ability to reproduce,the ability to orgasm,,
Do you think bodily fluids are inherently gross?,Yes,No,,
Have you ever cybered (had cybersex)?,Yes,No,,
Will you teach your children to believe in Santa?,Yes,No,,
Do you believe in God?,Yes,No,,
Do you think reptiles are cool?,Yes,No,,
Do you sleep with a stuffed animal?,Yes,No,,
Are some human lives worth more than others?,Yes,No,,
"Overall, has capitalism made the world a better place?",Yes,No,,
Which would you rather master?,art,science,,
Star Trek: cool or uncool?,Cool,Uncool,,
Should prostitution be legal?,"Yes, absolutely","Yes, only if it were regulated",I don't think so,ABSOLUTELY NOT
Gay marraige: should it be legal?,Yes,No,,
Do you like to watch sports on television?,Yes,No,,
Do you think taxes are justified?,Yes,No,,
Do you believe that wealth in America is fairly distributed?,Yes,No,,
"If you could triple your money by investing in a company whose business practices you disapproved of, would you invest?",Yes,No,,
Do you think Christians are persecuted in the U.S.?,Yes,No,,
Which would you rather lose?,the right to bear arms,the right to vote,,
Do you like sex toys?,Yes,No,,
Do you think humans have enough respect for the Earth's other species?,"Yes, too much","Yes, about right",No,
Cell phones: good or evil?,Good,Evil,,
Does fashion matter to you?,A lot,A little,Not at all,
Are your parents ugly???,Yes,No,,
Are your birth parents divorced?,Yes,No,They were never married!,
Do you listen to conservative talk radio?,Yes,No,,
Which describes you better?,Confrontational,Non-confrontational,,
Could you do 25 pushups without stopping?,Yes,No,,
Do you like being in a car with someone else who's driving extremely fast?,Yes,No,,
"Have you ever been arrested, even if just for a small crime or misdemeanor?",Yes,No,,
"Have you ever skied, snowboarded, surfed, or wind-surfed?",Yes,No,,
STALE is to STEAL as 89475 is to...,89457,98547,89754,89547
"When birds stand on power lines and don't get hurt, it's most likely because of:","Good timing, they only land between calls",Body materials that are insulated from current,Not touching anything else at the same time,"They do get hurt, they just express it poorly"
Did America really put a man on the moon?,Yes,No,,
Most claims of sexual harrassment in the workplace are LIES made up by a scorned woman.,TRUE,FALSE,I don't know,
Who do you think was smartest on this list?,Einstein,Shakespeare,Mozart,Jesus
Do you have a favorite sports team that you really like to follow?,Yes,No,,
"If some men are doctors and some doctors are tall, does it follow that some men are tall?",Yes,No,,
Do you enjoy fantasy books or movies? (e.g. The Lord of the Rings),Yes,No,,
Think quick!,3.14159,3.14195,3.14519,3.14591
Do you know how to drive a stick shift (manual transmission)?,Yes,No,,
What's the highest level of education you've completed?,Graduate School,College,High School,Junior High
Are you a virgin?,Yes,No,,
Would you rather live forever or die happy?,Live forever,Die happy,,
How good is your singing voice?,"Really awesome, actually",Very good,Okay,Crappy
"Based on its involvement in world affairs (past and present), do you think the United States deserves to get attacked by terrorists?",Yes,No,,
Do you like the taste of blood?,Yes,No,,
"Would you give the police significantly more power, if it would lower crime rates?",Yes,No,,
"Would you cut off your own good hand, if you knew it would magically solve poverty in the world?",Yes,No,,
Which are you MORE of?,Talented,Hardworking,,
What's a worse trait to have?,Greed,Laziness,,
Would you prefer it if fashion models were the same size and bodytype as the average citizen?,Yes,No,,
"Overall, do you think men should act more like women, or women should act more like men?",Women need to learn to act like men.,Men need to learn to act like women.,No one should change.,The premise of this question angers me.
Which is more important for a good match?,Having similar political beliefs,Having good sex,,
Would you like to date someone a lot purer than you?,Yes,No,,
"If possible, would you prefer to date someone a lot more attractive than you, or about the same?",A lot more attractive,About the same,,
Are you annoyed by people who are super logical?,Yes,No,,
"If you unscramble the letters in 'laity', what do you get?",A country,A mountain,A river,A planet
Do you hit the snooze button more than once on a typical morning?,Yes,No,,
Goth chicks?,Sexy,Lame,I don't know,
Do you like wild parties?,Yes,No,,
"If you like someone a lot, do you usually ask them out?",Yes,No,,
"Have you ever had a true one-night stand? (You met someone, had sex that night, and never contacted each other again.)",Yes,No,,
"When you're around new people, are you more of a leader, or are you more cooperative?",More of a leader,More cooperative,,
"Are you likely to make long, friendly conversation with strangers?",Yes,No,,
"When fooling around with someone, do you sometimes have sexual fantasies about other people?",Yes,No,,
Would you donate one of your kidneys (assume  you have 2) to save a child you didn't know?,Yes,No,,
"Have you ever read Shakespeare, other than for a class?",Yes,No,,
How important is money/wealth for you in a match?,Very important,Somewhat important,Not important at all,
Do you tend to blow off your responsibilities?,Yes,No,,
"Generally speaking, are you a worrier?",Yes,No,,
Do you try to draw attention to your body by wearing seductive clothing?,Yes,No,,
How confident are you in your sexual abilities?,Super confident,Confident,Not really confident,
Orgasms are clearly the most important part of sex.,I agree.,I disagree.,,
"Would you consider having an open relationship (i.e., one where you can see other people)?",Yes,No,,
Should your mate also become your best friend?,Yes,No,,
How does having sex with someone usually affect your emotional attachment to them?,I become more attached.,I become less attached.,I told you. I'm a virgin.,It stays about the same.
"If you saw someone shoplifting, would you turn them in?",Yes,No,,
Would you ever date someone who's had cosmetic surgery?,Yes,No,,
Would you ever sleep with a porn star?,Yes,No,,
Do you usually wear cologne or perfume?,Yes,No,,
Do you (or would you) like to go hunting?,Yes,No,,
"Without using a dictionary or other tool, can you choose the commonly misspelled word? Don't cheat! It's okay if you don't know.",Separate,Definate,Committee,(Not sure / dumb question / who cares)
How does your maturity level compare with most people your age?,I'm more mature,I'm average,I'm less mature,
Do you like reggae music a lot?,Yes,No,,
"Do you think angry or pornographic music lyrics should be kept, by law, away from kids?",Yes,No,,
"Regardless of whether or not you smoke marijuana, do you think it should be legalized for adults?",Yes,No,,
Do you like stand-up comedy?,Yes,No,,
Do most politicians really want to make the world a better place?,Yes,No,,
"Have you performed any charity work in the last year? (We mean labor, not donating money)",Yes,No,,
"Would you, or did you, go to your 10-year high school reunion?",Yes,"No, but I wanted to",No,
Which do you like more? Be honest.,Giving massages,Receiving massages,,
Do you have a really good relationship with both your parents?,Yes,No,,
Do you think you have ESP at all?,Yes,No,,
Would you rather date someone extremely hot or extremely honest?,Extremely hot,Extremely honest,,
Would you be comfortable being poor for the rest of your life?,Yes,No,,
Do you have any credit cards?,Yes,No,,
Which makes for a better first date?,Coffee and chit-chat,Drinks and groping,,
Do you know the first name of every person you've ever made out with?,Yes,No,,
You are more romantic than most people you know.,TRUE,FALSE,,
"How much would you enjoy hosting a big, crazy party?",A lot,Not that much,Not at all,
"When you're not in a serious relationship, what do you prefer?",Dating multiple people at once,Dating one person at a time,"I only have serious relationships, I don't 'date'",
If someone wrongs you do you exact revenge?,Yes,No,,
Which would you rather drive?,A fast sports car,An SUV,Something more environmentally friendly,
Do you like going to the movies alone?,Yes,No,,
Do you enjoy being photographed?,Yes,No,,
Is long hair on a guy inappropriate?,Yes,No,,
Is it cool for guys to wear earrings?,"Sure, it's fine",No way,,
"If you suffered minor injuries in a car accident, would you exaggerate the damage if you knew it could make you a LOT of money from an insurance company?",Yes,No,,
"If someone intentionally damaged your property, would you be more likely to call the police, or to fight them?",Call the police,Fight them,,
"Do you typically send thank you cards to people, when they do you favors?",Yes,No,,
Is it easier to love or to hate?,Love,Hate,,
Can most babysitters be trusted with children?,Yes,No,,
Are you disgusted by the extremely obese?,Yes,No,,
"If someone you barely knew asked you how many people you'd had sex with, would you answer?",Yes,No,,
Is there a such thing as having had too many sex partners?,Yes,No,,
Is it okay for a girl to talk openly about her sexual exploits?,Yes,No,,
"If you were in an extremely unhappy marriage, without children, would you get a divorce?",Yes,No,,
Is it okay for a guy to talk openly about his sexual exploits?,Yes,No,,
"Would you cheat on your taxes, if you were absolutely 100% sure you could get away with it?",Yes,No,,
Are you very close to your family?,Yes,No,,
Would you sign a prenup?,Yes,No,,
Do you enjoy discussing politics?,Yes,No,,
Do you read the news most days?,Yes,No,,
A 'shooting star' is a star that...,"...burned out, and collapsed",...collided with Earth's atmosphere,...got sucked into a black hole,...isn't really a star
Have you ever been to a strip club?,Yes,No,,
"Do humans and modern primates (apes, chimps, etc) share a common evolutionary ancestor?",Yes,No,Unsure,
Is global warming a serious problem?,Yes,No,I don't know,
Have you ever played Dungeons and Dragons?,Yes,No,,
Would you and your ideal match eventually feel comfortable farting around each other?,Yes,No,,
Have you ever blacked out from drunkenness?,Yes,No,,
"If a woman burps out loud, that is...",Cool,Uncool,,
Do you pee in the shower?,Yes,No,,
"Do you have a nervous habit, like biting your nails?",Yes,No,,
Do you enjoy watching movies with subtitles?,Yes,No,,
Do your parents have strong opinions about what kind of person you should marry?,Yes,No,,
"Do you think people living in rural areas are more ignorant, on average, than city folks?",Yes,No,,
"Do you think the media, in general, is too conservative, too liberal, or actually pretty impartial?",Too conservative,Too liberal,Impartial,
Do you like loud concerts?,Yes,No,,
"Did you ever study Latin, Ancient Greek, or any other dead language, for at least a year?",Yes,No,,
Does music have a big influence on your life?,Yes,No,,
Do you own or ride a motorcycle?,Yes,No,,
"If you had children, would it upset you to discover they were dumb, but nice?",Yes,No,,
Are you annoying?,Yes,No,,
Do you make your bed most days?,Yes,No,,
"If you don't do anything at all for an entire day, how does that make you feel?",Good,Bad,,
Do you think most people who are happy in relationships are just lying to themselves?,Yes,No,,
Which typically comes first for you?,Work,Play,,
Do you think most people are lonely?,Yes,No,,
Do you think most people tell at least one lie most days?,Yes,No,,
Do you think the basic instinct to survive and reproduce fundamentally drives every decision a person makes?,Yes,No,,
"As an adult, have you ever been single for more than a year straight?",Yes,No,,
Would the world be a better place if people with low IQs were not allowed to reproduce?,Yes,No,,
Do most women look better with make-up on?,Yes,No,,
"If a close friend doesn't call you for a week, do you start worrying that he hates you?",Yes,No,,
Is it wrong for two adopted siblings to date each other?,Yes,No,,
"In your ideal sexual encounter, do you take control, or do they?",I take control,They take control,,
"If you dislike your food in a restaurant, do you typically send it back?",Yes,No,,
"Can you tell the difference between very good wine and pretty good wine, just from the taste?",Yes,No,,
Do you imagine you're louder than average (for someone your gender) during sex?,"Yes, I'm louder",No,,
Do you like logic puzzles?,Yes,No,,
Do you like word games like Scrabble or Boggle?,Yes,No,,
Do you enjoy crossword puzzles or jumbled word puzzles?,Yes,No,,
Do you know how to use a darkroom to develop negatives and prints?,Yes,No,,
Have you ever fully read a book over 1000 pages?,Yes,No,,
"Do you have (or are you getting) a degree from one of the 8 ivy league universities, MIT, Stanford, Duke, U Chicago, or Caltech?",Yes,No,My degree is not from the U.S.,
Do you wear a lot of black?,Yes,No,,
Which is longer?,A mile,A kilometer,I don't know!,
Does the idea of childbirth disgust you?,Yes,No,,
"Do you have strong feelings about what kind of computer you use? (Apple, PC, or UNIX, for example)",Yes,No,,
Do you know and enjoy chess?,Yes,No,,
Is a welfare system a good idea? Or does taxing for it just take money away from hard-working people who earned it?,Welfare is mostly good,Welfare is mostly bad,,
Have you ever quit a job without giving at least a week notice?,Yes,No,,
"Do you make impulse purchases a lot, like gadgets you don't need, or clothes that are too expensive?",Yes,No,,
Have you ever been fired from a job?,Yes,No,,
What would be more likely to bother you in a relationship?,Not enough space,Not enough affection,,
Do you own a record player?,Yes,No,,
"When a relationship ends, what's the best thing to do?",Try and be friends with your ex,Go your separate ways,,
Could you date someone who used anti-depressants?,Yes,No,,
Have you smoked a cigarette in the last 6 months?,Yes,No,,
Do you like holding hands?,Yes,No,,
"If you flipped three pennies, what would be the odds that they all came out the same?","I admit, I don't know!",1 in 3,1 in 4,1 in 8
Do you like to dance?,Yes,No,,
"Have you ever dyed your hair a real crazy, unnatural color?",Yes,No,,
Do you play any musical instruments?,Yes,No,,
Is marriage a necessity for two people who love each other?,Yes,No,,
"Would you rather play Scrabble, go out dancing, or get drunk?",Scrabble,Dancing,Booze,
Is it REALLY better to have loved and lost?,Yes,No,,
Which is worse: being too much of a dreamer or too cynical?,too much of a dreamer,too cynical,,
Would you ever record a video of yourself having sex?,Yes,No,,
Roughly how many books have you read in the past year?,Less than five,Between five and fifteen,Between sixteen and fifty,Fifty or more
Would you date a transgender person?,Yes,No,,
Do you like punk rock?,Yes,No,When I was younger,
Do spelling mistakes annoy you?,Yes,No,,
Can you name five current world leaders?,Yes,No,,
How many dates does it take for a potential significant other to get a good sense of who you are as a person?,Less than five,More than five,,
Do you feel that animals are more important than humans?,Yes,No,,
"Which is more important to your life, passion or happiness?",Passion,Happiness,,
Can anything be made the subject of a joke?,"Yes, anything can be funny in the right light.","No, some subjects should not be joked about.",,
"Should freedom of speech allow the expression of all viewpoints, even extreme and widely-offensive ones?",Yes,No,,
Have you ever gone skydiving?,"Yes, and I enjoyed it.","Yes, but I did not like it.","No, but I would like to some day.","No, and I do not want to."
"Would you date someone who was looking for true love - but no sex, at all, ever?",Yes,No,,
Should evolution and creationism be taught side-by-side in school?,"Yes, students should hear both sides","No, creationism has no place in schools","No, evolution has no place in schools",
"If you could have brilliant skill at something, would you prefer:",something practical?,something fun?,,
"If evil forces made you choose to either watch tv OR read books for the rest of your life, you would:",watch tv,read books,,
Would you have a sexual relationship with a friend even if you both knew you were romantically incompatible?,Yes,No,,
Have you ever attended -- or would you attend -- a Sci-Fi/Anime/etc convention?,Yes,No,,
Have you ever had sex in a place where there was a high risk of being caught?,Yes,"No, but it sounds like fun","No, I don't think I could do it",
"Politics: Should the US be forced to abide by the WOMD rules it sets for other countries? This includes biological, nuclear and other weapons of mass destruction that the US claims to have a right to have.",Yes,No,Unsure / Don't Care,
Has Christianity made the world better or worse?,Better,Worse,No opinion / Not sure,
Are you fetish-friendly?,Bring out the toys!,"Never tried it, but I'm open-minded.",Not sure/don't know what they really are.,Ew!
Do you think that people should be allowed to marry more than one person at a time?,Yes,No,I don't know,
Do you think a girl with hairy underarms is necessarily unattractive?,Yes,No,,
"Would you consider dating someone who had a very shady, questionable past?",Yes,No,,
"Do you consider yourself a truly honest person, in all aspects of your life?",Yes,No,,
Do you believe in karma?,Yes,No,,
Would you be okay with your significant other spending a lot of time with one of his/her exes (as a friend)?,Yes,No,,
"For you personally, is abortion an option in case of an accidental pregnancy?",Yes,No,,
"Do you wish things like vampires, fairies, werewolves, ghosts, or something along those lines were real?",Yes,No,,
Is it wrong to cultivate or manufacture illegal drugs?,"Yes, always","No, never",Sometimes,
What's more important?,Safety,Freedom,,
"Do you enjoy crude humor, dirty jokes, and the like?","Yes, and I often try to push the boundaries!","Usually, yes.","Not in most cases, no.",Absolutely not at all.
"Do you prefer to pursue a potential partner, or for them to pursue you?",I'd rather pursue.,I'd rather be pursued.,I prefer a little of both.,
"Is it possible to have a true relationship, friend or otherwise, with someone you've never met in person?",Yes,No,,
Would you rather have your dream job or your soul mate for the rest of your life?,Dream Job,Soul Mate,,
Do you consider yourself to be good at clear verbal communication?,Yes,No,Sometimes,
Is foreplay necessary for good sex?,Yes,No,,
How many children would you ideally like to have?,None,1-2,3-4,5 or more!
Do you believe in an afterlife/life after death/resurrection?,Yes,No,I'm Not Sure,
Are you a cat person or a dog person?,Cats,Dogs,Both,Neither
"Do you know what a 'safeword' is, in a sexual context?",Yes,No,,
Is your ideal sex rough or gentle?,Rough,Gentle,I enjoy both equally,I'm a virgin
Receiving anal sex?,I like it / I think I might like it,I don't like it / I don't think I would like it,,
Would you prefer the lights on or off during sex?,On,Off,It's exactly the same to me,
How often do you get angry?,Very often,Sometimes,Rarely,
"People who are convicted of morally heinous crimes (child molestors, for example) deserve to have bad things happen to them in prison.",TRUE,FALSE,Maybe / I don't know,
How frequently do you bathe or shower?,At least once a day.,Usually daily.  I skip some.,A couple times a week.,Once a week or less.
Would you prefer to be a financial success or to remain true to your principles?,"Financial success, please.","I'll stick with my principles, thanks.",,
Are you smarter than most people?,Yes,No,,
Are you better looking than most people?,Yes,No,,
Do you think most people would prefer to be a lot more like you?,Yes,No,,
Do you feel that you're usually at least one step ahead of most people you talk to?,Yes,No,,
Are you naturally a lot better at games than most people?,Yes,No,,
Are you a genius?,Yes,No,,
Do you like the taste of beer?,Yes,No,,
Would you date someone with a mental illness?,Yes,Depends on the illness,Only if they're symptom free through treatment,No
Does your partner have to be an active reader?,Yes,No,,
Have you ever had multiple romantic partners during the same time period?,"Yes, and they both knew.","Yes, and I didn't tell at least one of them.",No.,
How often do you use profane language?,Never,Once in a while,Often,Almost always
Would you say your actions are guided more by your head or your heart?,Head,Heart,Genitalia,
Would you date someone who was already in a committed relationship with someone else?,"Yes, even in secret.","Yes, but only if everybody knew.","No, but I don't think it's inherently wrong.","No, it's wrong."
A homeless person asks you for some change. You:,Ignore them completely,Refuse politely,Threaten them or insult them,Give them some loose change.
Would you ever consider cutting a partner (who asked for it) in sexual play?,Yes,Maybe,No,
Do you have rape fantasies?,Yes,No,,
Do you have a desire (even if it's secret) to take part in sexual activities involving bondage?,Yes,No,Absolutely not.,
Have you ever been to prison?,Yes,No,Just to visit / I was working,
Is taking care of your body important to you?,Yes,No,,
Sexually explicit art or song lyrics should be,Embraced as an art form,Accepted as free expression,Censored to protect society,
"Are you married, engaged to be married, or in a relationship that you believe will lead to marriage?",Yes,No,,
Do you own any dice with more than six sides?,Yes,No,,
Are you more attracted to virgins?,Yes,No,I AM a virgin,
Do you like traveling?,Yes,No,,
"In a serious relationship, do you feel it's important to keep your significant other informed of the details of your day-to-day life?",Yes,No,Some,I don't do serious relationships
Break-ups. Which has happened more?,Usually I break up with them,Usually they break up with me,It's been equal on both sides.,
"What is next in this series? 1, 4, 10, 19, 31, _",36,48,46,Don't know / don't care
"Do you spend money on a partner, buying gifts, paying for events and the like?","Yes, all the time, for just about any reason.","Sometimes, on special occasions.",Only when absolutely necessary.,"No, not at all."
Do you like dogs?  Would you consider owning a dog as a pet?,"Yes, I would love (or do own) a dog.","I'm not too into them, but I wouldn't mind one.","No, I dislike dogs.","I like them, but I'm allergic."
"In terms of relationships, which of these is it the most important to find?",Someone for whom you would do anything.,Someone who turns you on.,Someone you feel like you've known forever.,Someone with goals similar to yours.
Watching cartoons as an adult is...?,Pathetic,Cool,I don't care either way / Not sure,
Should frontal nudity be allowed on non-pay television?,Yes,No,Only during certain hours,
Do you need to know about your partner's previous sexual exploits?,"Yes, because it reflects on them as a person.","No, the past is the past.",,
How wise do you think you are at this stage?,I am wise about most things in life,I am wise about a few things,"Some wisdom, but I don't feel wise",I don't have much wisdom yet
"A few long, slow, deep kisses or lots of sweet little kisses?","Long, slow",Sweet Little,Ugh! Kissing!,
Is it okay for you to be irrational in making important life decisions?,Yes,No,,
Have you experienced mental illness?,Yes - severely,Yes - low grade,No,I'm not sure
Do you feel like you're still hurting from something that happened to you a long time ago?,Yes,No,,
Do you understand quantum physics?,Yes / Some,No,,
Do you own your own country's flag?,Yes,No,,
What size party would you prefer to attend?,Just a few close friends.,5-20 people.,20-100 people.,More than 100 people.
"As a personality, are you more passive or more active?",More passive,More active,Exactly balanced,
It is more worthwhile and satisfying to:,Improve the world.,Appreciate the world.,,
Are geeks sexy?,Yes,No,,
"Would you take your top off while dancing in a nightclub? (If you're a girl, assume you have a bikini top or bra on underneath)",Yes,No,,
"Would you ever engage in a sexual activity you didn't enjoy, just because your partner did?",Yes,No,,
Have you ever had a sexual encounter with someone of the same sex?,"Yes, and I enjoyed myself.","Yes, and I did not enjoy myself.","No, and I would never.","No, but I would like to."
Do you think that smarter people are usually capable of deeper love?,Yes,No,,
Would you wear your partner's underclothing if they wanted you to?,Yes,No,,
Do you consider yourself sexually open minded?,Yes,No,,
Would you leave an otherwise perfect relationship if you found out your partner was interested in children sexually?,Yes,No,I'm Not Sure,
Do you enjoy being naked?,Yes,No,,
Do you care about other people's suffering?,"Yes, solidarity is important","No, everyone has their own responsibility",It depends on the kind of suffering,
Would you be willing to pay for good sex?,Yes,No,I'm Not Sure,
"Do you enjoy outdoor activities such as camping, hiking or fishing?",Yes,No,,
